name,cardImage_url,mana,text,class,type,attack,health,series,introduction
倚多為勝,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57dc9e88540ad9aefae12d83547e2f2685e46fbefdc016974b98c0c3e4bca661.png,2,選擇一個手下。將3張該手下的卡牌洗入你的牌堆,7,0,,,blackrock-mountain,如果你想要去月溪鎮，你最好多帶點人。
黑鐵潛伏者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/14a1a573740d54ea288401a40d76b7e9b247fe7e70cd853da4a1989b8d135aee.png,5,戰吼：對全部 敵方未受傷的手下 造成2點傷害,7,1,4,3,blackrock-mountain,他超愛潛伏。就算沒人在場，他也一直潛伏躲著。他的朋友都對他這個習慣感到相當憂心。
熔岩震擊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc20d9ec8e661569d086548ee8f4144c835cc6902038b27d41f6c3e68964fcfe.png,2,造成 2點傷害 解開你超載的 法力水晶,8,0,,,blackrock-mountain,熔岩巧克力蛋糕好吃得叫人震驚。
火焰驅逐者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/edcb37d594e5b15befce60365f8fe80feb11313399731147838ae08807210dbd.png,4,戰吼：獲得1到4點攻擊力。超載：(1),8,1,3,6,blackrock-mountain,拉格納羅斯面試了數以百計的火元素，但能適任他這份職位的少之又少。
小鬼幫派老大,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e716a3c0e2a2cc0d7e36ced11651173fced6be62f9fe07270dc1b572b5f451c3.png,3,每當此手下受到傷害，召喚一個1/1小鬼,9,1,2,4,blackrock-mountain,他幫派裡面的小鬼喜歡潛行到暴風城，在法師塔的牆上噴漆塗鴉：「拉格納羅斯萬歲！」
惡魔怒火,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/edde260756314a307ebebadbaf607bbbabcd7a165a7cfa37a19e4766fc13ff65.png,3,對全部非惡魔 手下造成 2點傷害,9,0,,,blackrock-mountain,惡魔通常沒有很憤怒。你得要打出這張牌才能強迫他們發火。
復仇,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/836f9bdbfed244940968a9d454c42a9fee42b8ed4e1a94f2cae37c461b7255d1.png,2,對全部手下造成 1點傷害。若你生命值在12點以下則 造成 3點傷害,10,0,,,blackrock-mountain,這張卡牌比魔爆術厲害，所以這應該算是戰士對法師的復仇終於來臨了。誰叫致死打擊比火球術爛！
飛斧投擲者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/33f98bccaa8139d815e719377550cc972f136de646e4c0d723e331cb34ba0906.png,4,每當此手下受到 傷害，對敵方英雄 造成2點傷害,10,1,2,5,blackrock-mountain,他從不起眼的「飛標投擲者」開始練起，正努力往「牛頭人投擲者」的終極目標邁進。
龍蛋,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f98222d1cf745b3c9a211681fbe80e8589794bd617661bf7fa3195405b72c78.png,1,每當此手下受到傷害，召喚一隻2/1幼龍,12,1,0,2,blackrock-mountain,真想把這些蛋當子彈用…
黑翼技師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e4883caad80987a6e5bd26cd072c46720472cfca367212363fbfda0e791faf5b.png,3,戰吼：若你手中有龍類，獲得+1/+1,12,1,2,4,blackrock-mountain,這才是正牌專修黑翼的技師。千萬別去找坊間無牌的技師修理你的黑翼！
飢餓的龍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc1ee0f44e6d2b355e69173beef353b8cba5e70fd9d89b5d56d1e34ec972baa5.png,4,戰吼：為對手 召喚一個消耗為1的 隨機手下,12,1,5,6,blackrock-mountain,寧可參加飢餓遊戲，也不要碰上飢餓的龍。
龍人巫師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fe3136df4c1fa03e3566c54ff4faddaa2f4cff98562234a6c666bd0771cb88a.png,4,每當你對此手下施放法術，獲得+1/+1,12,1,3,5,blackrock-mountain,龍人巫師最大的問題就是出在態度上：我才是真正的法師，其他人全都是假貨。
恐怖的黑鐵酒客,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ddfab05dd79153f5660da0740015a260152e5d68ef4f3186ee4552b04bbbfc3.png,5,在此手下受傷 存活後，召喚另一個恐怖的黑鐵酒客,12,1,3,3,blackrock-mountain,若你迫不及待地想要被打臉，快來黑鐵酒吧！
黑翼墮落者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fae34595d67cae80cbfc084022c29042dab6f650ab283552ca120c611db7c9d7.png,5,戰吼：若你手中有龍類，造成3點傷害,12,1,5,4,blackrock-mountain,當年就是他拿漫畫跟電玩勾引黑翼逃學的。
龍獸粉碎者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aecd3e3c71634e9fc0847603baa6263f43f04dddb18ef46b3696663b8edbf0f0.png,6,戰吼：若對手生命值在15點以下，獲得+3/+3,12,1,6,6,blackrock-mountain,創造龍獸的本意是要在人形下擁有龍那些恐怖的部位。但，何苦呢？
火岩飛龍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2afdf035aca308720032fdb8cc9a08fd743a320a2862d6d0d6e9c5c8b9889fea.png,6,本回合死亡的每個手下使消耗減少(1),12,1,6,4,blackrock-mountain,火岩飛龍噴的不是火，是岩漿。瑟銀哨塔的胃藥商人跟牠們有著非常熱絡的生意往來。
索瑞森大帝,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/93538ff5d0cd2820cade48629639f4a2fa274b08c392d6b737df9707c034654d.png,6,在你的回合結束時，使你手中的卡牌消耗降低(1)點,12,1,5,5,blackrock-mountain,他第二大的遺憾是召喚了一個邪惡的火焰之王，奴役了他全部的子民。
雷德‧黑手,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a520fb98258627ec68e37f8ffb9c8dbfe51792d0f0f9d18118bc310f0d4d00e6.png,7,戰吼：若你手中 有龍類，摧毀一個 傳說手下,12,1,8,4,blackrock-mountain,雷德認為他才是部落真正的大酋長，所以他一直不斷編輯維基百科的頁面，想把「部落的大酋長」專頁換上自己的照片。
克洛瑪古斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc4023b68badb42bb161b502b781f2509398850e985cd7f9a9a1bd9ba11287a2.png,8,每當你抽牌， 多放一張相同的牌到你的手中,12,1,6,8,blackrock-mountain,左右兩顆頭總是無法對晚餐的內容達成共識，到最後只好隨便吃個(兩碗)泡麵了事。
奈法利安,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2b16bcaa89b5d35da40ab3ed821e9c9b1e3fd1bc2f31e1c51caf7df804d176d.png,9,戰吼：將2張你對手職業的隨機法術牌放到你的手中,12,1,8,8,blackrock-mountain,大家叫他「黑翼」的原因是，他是一頭黑龍，而且他有翅膀。
管理者埃克索圖斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4acac46cd87a85ad86c1c063eb4283d171afa5b20bdc53dab61d207ece0bae53.png,9,死亡之聲：以 『炎魔』拉格納羅斯替換你的英雄,12,1,9,7,blackrock-mountain,你以為是埃克索圖斯把你變成拉格納羅斯。其實你一直都是拉格納羅斯，只是你還沒覺醒而已。
