name,cardImage_url,mana,text,class,type,attack,health,series,introduction
憎惡魔像,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8005f1bcf4771299ad01cb5e200c98d4d3eecbeef3830151929523d97aaecb9.png,6,每個回合結束時，若此手下是你唯一在場上的手下，摧毀它,9,1,9,9,goblins-vs-gnomes,黑暗憎惡魔像很邪惡、神秘、巨大，而且一個句子都寫不完整。
瑪爾加尼斯,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cdc67ea9e3eecc86a5f6e70c8b0b7b20d14f62f8408bfce06744057d4028909a.png,9,你的其他惡魔擁有+2/+2。 你的英雄免疫,9,1,9,7,goblins-vs-gnomes,瑪爾加尼斯不喜歡被背叛，所以如果你把他捨棄，最好把皮繃緊一點。
戰爭機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e22136186336f9dc12baf9b5c4112117a094f2daea0f70edaf9e1e6e7dfa79d6.png,1,受傷時+1攻擊力,10,1,1,3,goblins-vs-gnomes,戰爭機器人的量產在突然發現尺寸輸出成樣品版後喊停。結果達拉然的神奇玩具屋忽然就被數以千計的戰爭機器人玩具塞爆了。
彈跳鋒刃,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3f9c5842bf0be417de802394c27f14691e2d877be9f0ec3c1dcf13449de453d.png,3,對一個隨機手下造成 1點傷害。反覆彈跳直到一個手下死亡為止,10,0,,,goblins-vs-gnomes,只有哥布林會覺得這是個好主意。現在，就連他們自己也開始產生疑慮了。
巨魔戰槌,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/907f2bdae14208eb4634d037c943edce53da8c3ab38cd7bcb76cea4ad47362d8.png,3,有50%機率攻擊 錯誤的敵人,10,2,4,2,goblins-vs-gnomes,簡單，粗暴，異常危險。你懂的，就跟大部分的巨魔武器一樣。
破舊的維修機甲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f3e254d3d8339d54570291aa24cdaa699fcc6c3b18581d4975c1512f3ec9beb.png,4,戰吼：賦予一個友方機械+2/+2,10,1,2,5,goblins-vs-gnomes,如果出現故障，從屁股下面45度角踢它幾下通常可以修好。
攻城機具,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/59c631cd497bc59842b1688d8bc9fdef11ed211456249f6b74c1b7901988990a.png,5,每當你獲得護甲值，賦予此手下+1攻擊力,10,1,5,5,goblins-vs-gnomes,冬握湖要塞唯一的弱點！
女盾侍,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3bb049a9f425bbf814bb1c59277c9ea752587c4cfea467a5bd31e596a0e9130b.png,6,戰吼：獲得5點護甲值,10,1,5,5,goblins-vs-gnomes,她通常會帶著三個執盾兵跟班，這樣盾牌只要快壞了就能馬上換新的。
鋼鐵破滅邪神,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce170e8bdf6fee5a433b5455a69cc9a73e8f1d576f4dd4b4f65d1084bf0c71c8.png,6,戰吼：將一顆地雷洗入對手的牌堆。抽中時對其造成10點傷害,10,1,6,5,goblins-vs-gnomes,鋼鐵破滅邪神守護著奧格瑪，而且才剛剛獲得「本月最佳員工」獎項！
粉碎,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f55ebd65923ba8542ff324d4012ef84f8ab90f9d7df44619f9b370d798e024fb.png,7,摧毀一個手下。若你有受傷的手下在場上，消耗減少(4),10,0,,,goblins-vs-gnomes,很多野蠻人都說，使用這張牌的感覺令他們畢生難忘。
訓練假人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3211181e6518ac16b891eadb9265b09a6dabbb8d381735cd814713e9f2cac01f.png,0,嘲諷,12,1,0,2,goblins-vs-gnomes,這個假人的頭上貼著一張紙條，上面寫著：「打我啊！」
齒輪大師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0995bff1d3f02fafc1d64d738b98ec8302071106df01f4ea14a22e26b4919b2f.png,1,若你有機械 則獲得+2攻擊力,12,1,1,2,goblins-vs-gnomes,過一陣子，你看到的就不是齒輪跟扣鏈，而是機器人、蜘蛛坦克、死亡射線槍等等各式各樣的怪東西…
發條地精,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a23882271794815beeb16506f05a5cf81e68d64b0c060f1a0fcc731a3fb06b7.png,1,死亡之聲：放一張備用零件到你的手中,12,1,2,1,goblins-vs-gnomes,發條地精最常問的問題就是現在幾點鐘。
機械召喚師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d83713cf90d9a0418948b8e94e99a1ef7b7c4a873dcc466be3756c9e3f37b6c4.png,2,你的機械消耗 減少(1),12,1,2,3,goblins-vs-gnomes,會召喚機械的機械？接下來呢？會召喚甜甜圈的甜甜圈嗎？嗯…聽起來不錯。
淤泥踐踏者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fcb8243a998095387f704dcd8e39b17c87668d40cad4fe838450c9c6bccd2c74.png,2,,12,1,3,2,goblins-vs-gnomes,他的偶像是偉大的魚人神諭者莫哥！(有誰不是呢？)
石裂穴居怪,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fdecf2905609170a503d5e65a6b7a53d6f64b5d0154e7d8b91c0614b409414e5.png,2,每當對手施放法術，獲得+1攻擊力,12,1,2,3,goblins-vs-gnomes,傳說跟穴居怪關在一起的臭味足以讓最強硬的嫌犯在三天內把一切都招了。
船艦主砲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db3357b5aaa515c96ed126077f622d8690e24ad3e7003dac43d46baecd41cc6c.png,2,在你召喚海盜後，對一個隨機敵人造成2點傷害,12,1,2,3,goblins-vs-gnomes,等你聽到有人喊「砲擊！」時，通常不是沒事，就是已經太晚了。
自爆綿羊,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7bbca35b00205da0ee3f2f6c99be30f661cb183dd8c09b69ca5ff16e1aa0883.png,2,死亡之聲：對全部手下造成2點傷害,12,1,1,1,goblins-vs-gnomes,這玩意兒怎麼使用呢？你以為你的敵人會說：「唉呀，好可愛的羊啊！」然後跑過去抱它起來玩嗎？
吉爾布林潛獵者,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/471cc68e8e70317daeb8483a38bd9543289bf6e7de23bc64be54ef9c313427ee.png,2,潛行,12,1,2,3,goblins-vs-gnomes,「等等！我聽到怪聲。」 「啊，大概是我聽錯了。」-很多守衛死前的最後兩句話。
煩人機器人,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f30bbb7e3b921eac2c2719933dc0be9898446f3f1a6aa86d1b29b5b7d53fb34c.png,2,嘲諷 聖盾術,12,1,1,2,goblins-vs-gnomes,煩人機器人的發明者被技工學校立即退學，然後被趕出地精區，最後整個被踢出東部王國。
微型裝甲,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d22bd83fe3fdeda5dbbda9e03fca7953439238785d8103e94b03eff2f351e37.png,2,在每個回合開始時獲得+1攻擊力,12,1,1,2,goblins-vs-gnomes,沒有人敢小覷它的威力。
重組轉化師,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d12001bbd439abfd3c54ee5767a194da844ce547a2c80ca9a57f32835bca681.png,2,戰吼：將一個友方手下變形為另一個相同消耗的隨機手下,12,1,3,2,goblins-vs-gnomes,上場前記得先禱告一下。
蜘蛛坦克,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19bc89312ce49b7a1703f238f74432f997e641958059ff9e0a4e52c9229191e0.png,3,,12,1,3,4,goblins-vs-gnomes,「如果我們把槍砲裝上去會怎樣？」-菲茲布里茨對著蜘蛛型運輸工具如是說。
巨魔蠻卒,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b75efde7d3685c8f3caafd8629da1891f48cfdc6e3f3bb65a99f800aac42488e.png,3,有50%機率攻擊 錯誤的敵人,12,1,4,4,goblins-vs-gnomes,有一個學說主張，要不是巨魔有這種嚴重的問題，他們早就統治全世界了。
